JASID,経度,緯度
133050100,139.2289512,35.74847833
133050200,139.2313202,35.74493955
133050300,139.247422,35.74566404
133050400,139.2526405,35.74527394
133050500,139.2670944,35.74435439
133050600,139.2742012,35.74496742
133050700,139.2778747,35.74446585
133050800,139.2770035,35.74067261
133050900,139.2547562,35.73861047
133051000,139.2589104,35.73529421
133051100,139.2531083,35.73771872
133051200,139.2302215,35.76257612
133051300,139.2252434,35.74301685
133051400,139.2293976,35.74454945
133051500,139.2692917,35.73958931
133051600,139.2655022,35.75042527
133051700,139.2759392,35.73964155
133051800,139.2825654,35.73827606
133051900,139.2741196,35.74017102
133052000,139.2426155,35.74415933
133052100,139.2686608,35.74053328
133052200,139.2636826,35.73844327
133052400,139.2705147,35.7337057
133052500,139.2134674,35.75878723
133052600,139.2392724,35.74669154
