JASID,経度,緯度
1330700100,139.0716743,35.75846009
1330700200,139.1327514,35.76495126
1330700300,139.0730444,35.7416383
1330700400,139.0948646,35.74182518
1330700500,139.1125791,35.73067187
1330700600,139.0417998,35.72828461
1330700700,139.0761664,35.7117834
1330700800,139.0845435,35.71373473
1330700900,139.088835,35.71345597
1330701000,139.1256409,35.7036551
1330701100,139.1080825,35.70419714
1330701200,139.1097992,35.70210617
1330701300,139.1229818,35.73855867
1330701400,139.1337262,35.74089328
1330701500,139.1358204,35.74078181
1330701600,139.1388968,35.74029316
1330701700,139.1449211,35.72981401
1330701800,139.146775,35.72610719
1330701900,139.1449211,35.72574485
1330702000,139.1426895,35.73073373
1330702100,139.1114814,35.70297044
1330702200,139.1402519,35.70285892
1330702300,139.1575337,35.70161329
1330702400,139.0814246,35.76993768
1330702500,139.1036033,35.77795986
1330702600,139.1320304,35.74698086
1330702700,139.1409169,35.73932615
1330702800,139.1578961,35.68831996
1330702900,139.1267739,35.70396177
1330703000,139.1201134,35.70479815
1330703100,139.0833418,35.7200623
1330703200,139.1059035,35.72042181
1330703300,139.0688215,35.74127604
1330703400,139.1212995,35.73727677
1330703500,139.1440068,35.73835081
1330703600,139.1138686,35.73115239
1330703700,139.1408482,35.74010642
1330703800,139.0498679,35.72669596
1330703900,139.1099708,35.70297044
1330704000,139.1200447,35.70582967
1330704100,139.1467896,35.70454724
1330704200,139.1520279,35.71431665
