"水系","配列","自治体コード","名称","貝塚","方形周溝墓","古墳","横穴墓","社寺","城館","塚"
"多摩川",101,13111,"大田区",39,3,55,58,4,4,46
"多摩川",102,13112,"世田谷区",2,3,64,22,0,6,17
"多摩川",103,13219,"狛江市",1,1,25,0,0,0,1
"多摩川",104,13208,"調布市",0,2,33,3,0,4,1
"多摩川",105,13206,"府中市",0,1,24,1,0,0,6
"多摩川",106,13215,"国立市",0,0,31,2,1,1,0
"多摩川",107,13202,"立川市",0,0,3,0,0,1,0
"多摩川",108,13207,"昭島市",0,0,4,0,2,1,2
"多摩川",109,13218,"福生市",0,0,0,0,0,0,0
"多摩川",110,13227,"羽村市",0,0,0,0,0,0,0
"多摩川",111,13205,"青梅市",0,1,1,1,0,12,8
"多摩川",112,13308,"奥多摩町",0,0,0,0,0,0,0
"野川",121,13204,"三鷹市",0,0,1,6,0,0,0
"野川",122,13210,"小金井市",0,0,0,1,0,0,1
"野川",123,13214,"国分寺市",0,0,0,2,3,0,1
"残堀川",151,13303,"瑞穂町",0,0,0,0,0,1,0
"浅川",161,13212,"日野市",0,1,7,6,1,4,5
"秋川",171,13228,"あきる野市",0,1,77,0,3,9,2
"秋川",172,13307,"檜原村",0,0,0,0,0,1,0
"平井川",181,13305,"日の出町",0,0,1,0,2,3,1
"目黒川",201,13109,"品川区",6,0,3,2,1,4,6
"目黒川",202,13110,"目黒区",1,0,2,0,1,2,2
"渋谷川",211,13103,"港区",15,1,19,2,47,4,15
"渋谷川",212,13113,"渋谷区",4,0,16,14,1,2,4
"神田川",301,13101,"千代田区",7,1,0,0,5,13,7
"神田川",302,13104,"新宿区",1,5,0,1,42,4,2
"神田川",303,13115,"杉並区",0,3,1,4,0,0,0
"神田川",304,13203,"武蔵野市",0,0,1,0,0,0,1
"小石川",311,13105,"文京区",15,0,6,0,27,0,15
"小石川",312,13116,"豊島区",3,1,1,0,1,0,3
"妙正寺川",321,13114,"中野区",0,0,2,4,0,1,0
"石神井川",402,13229,"西東京市",0,0,0,0,0,0,1
"石神井川",403,13211,"小平市",0,0,0,0,0,0,0
"空堀川",712,13223,"武蔵村山市",0,0,0,0,0,0,1
