遺跡番号,ふりがな,ラベル,変換元住所,時代,種別,主な遺構/概要,主な出土品,色
1,ぬくいいせき,貫井遺跡,小金井市 貫井南町三丁目,[旧石器時代][縄文時代（早期～後期）],集落,[縄文時代]住居 集石 土坑群,剥片 縄文土器 磨斧 石斧 石鏃 石匙 石皿 磨石 耳栓 硬玉製大珠 土製垂飾,"rgb(255,0,0)"
2,はけうえいせき,はけうえ遺跡,小金井市 貫井南町三丁目 前原町三丁目,[旧石器時代][縄文時代（草創期～後期）],集落,[旧石器時代]礫群 [縄文時代]住居 集石 土坑,ナイフ形石器 尖頭器 細石刃 局部磨斧 縄文土器 石斧 石鏃 石皿 スタンプ形石器,"rgb(255,0,0)"
3月1日,へいたいさかいせき,平代坂遺跡,小金井市 前原町三丁目,[旧石器時代][縄文時代（中期）][中世],集落,[旧石器時代]礫群 [縄文時代]住居 [中世]地下式土坑,ナイフ形石器 尖頭器 礫器 磨石 石核 縄文土器 陶器,"rgb(255,0,0)"
3月2日,まえはらよこあなぼ,前原横穴墓,小金井市 前原町三丁目,[古墳時代],横穴墓,,人骨,"rgb(255,0,0)"
4,にしのだいいせき,西之台遺跡,小金井市 前原町三丁目 中町四丁目,[旧石器時代][縄文時代（草創期～後期）],集落,[旧石器時代]礫群 [縄文時代]集石 炉穴 土坑,ナイフ形石器 尖頭器 有舌尖頭器 細石刃 細石核 掻器 石核 縄文土器 石斧 スタンプ形石器,"rgb(255,0,0)"
5,なかざんやいせき,中山谷遺跡,小金井市 中町一丁目 中町二丁目 中町三丁目,[旧石器時代][縄文時代（早期～後期）],集落,[縄文時代]住居 集石土坑 土坑,細石刃 細石核 礫器 錐状石器 石核 剥片 縄文土器 石斧 石鏃 石匙 石皿 磨石 土器片錘 土製円板,"rgb(255,0,0)"
6,くりやまいせき,栗山遺跡,小金井市 中町一丁目 東町五丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]礫群 [縄文時代]住居 土坑群,ナイフ形石器 細石核 剥片 縄文土器 石斧 石鏃 石皿 磨石 土器片錘 土製円板 土偶,"rgb(255,0,0)"
7,あいしーゆーろけーしょん15いせき,ICULoc.15遺跡,小金井市 東町一丁目 東町五丁目,[旧石器時代][縄文時代（中期）],集落,[旧石器時代]礫群 [縄文時代]土坑,ナイフ形石器 掻器 削器 石核 剥片 縄文土器,"rgb(255,0,0)"
8,あらまきいせき,荒牧遺跡,小金井市 貫井南町四丁目,[旧石器時代][縄文時代（前期～後期）][近世],集落,[縄文時代]住居 土坑 [近世]掘立柱穴列 井戸,石核 剥片 縄文土器 石斧 石鏃 土製円板 陶磁器 鉄製品 板碑,"rgb(255,0,0)"
9,ぬくいみなみいせき,貫井南遺跡,小金井市 貫井南二丁目,[旧石器時代][縄文時代（早期～後期）],集落,[縄文時代]住居 集石 土坑群,ナイフ形石器 尖頭器 縄文土器 打斧 磨斧 石鏃 石皿 磨石 けつ状耳飾,"rgb(255,0,0)"
10,,小金井市№10遺跡,小金井市 前原町五丁目,[縄文時代（前期～中期）],包蔵地,,縄文土器,"rgb(255,0,0)"
11,,小金井市№11遺跡,小金井市 前原町三丁目,[縄文時代][中世],包蔵地,,縄文土器 石棒 蔵骨器,"rgb(255,0,0)"
12,まえはらいせき,前原遺跡,小金井市 前原町一丁目 前原町二丁目,[旧石器時代][縄文時代（草創期～後期）][近世],集落,[旧石器時代]礫群 配石 [縄文時代]住居 集石 土坑,ナイフ形石器 尖頭器 剥片 縄文土器 打斧 有舌尖頭器 石鏃 磨石,"rgb(255,0,0)"
13,,小金井市№13遺跡,小金井市 中町四丁目,[縄文時代],包蔵地,,縄文土器,"rgb(255,0,0)"
14,しんばしいせき,新橋遺跡,小金井市 中町一丁目,[旧石器時代][縄文時代（後期）],集落,[旧石器時代]礫群 [縄文時代]住居 土坑,ナイフ形石器 尖頭器 細石刃 細石核 剥片 縄文土器 石斧 石錘,"rgb(255,0,0)"
15,,小金井市№15遺跡,小金井市 前原町二丁目,[縄文時代],包蔵地,,縄文土器,"rgb(255,0,0)"
16,しちけんやいせき,七軒家遺跡,小金井市 前原町二丁目,[旧石器時代][縄文時代（草創期～後期）][古墳時代][中世][近世],包蔵地,[時代不明]土坑 溝状遺構,有舌尖頭器 削器 剥片 縄文土器 打斧 磨石 土師器 陶磁器 カワラケ,"rgb(255,0,0)"
17,のがわなかすいせき,野川中洲遺跡,小金井市 前原町二丁目,[旧石器時代][縄文時代（後期）],包蔵地,,ナイフ形石器 槍先形尖頭器 有茎尖頭器 礫器 剥片 縄文土器 打斧,"rgb(255,0,0)"
18,のがわなかすきたいせき,野川中洲北遺跡,小金井市 中町一丁目,[旧石器時代][縄文時代（草創期～早期・後期）][古墳時代][平安時代][中世][近世],集落,[旧石器時代]ブロック 礫群 配石 炭化物集中 [縄文時代]住居 集石 土坑 ピット [平安時代]土坑 [中世]掘立柱建物 ピット 土坑 溝 [近世]ピット 土坑,ナイフ形石器 尖頭器 細石刃 打斧 局部磨斧 礫器 縄文土器 打斧 磨斧 石槍 有舌尖頭器 石鏃 石錘 石皿 磨石 敲石 木製品 土師器 刀子 陶磁器,"rgb(255,0,0)"
19,むさしのこうえんていしっちいせき,武蔵野公園低湿地遺跡,小金井市 東町五丁目,[旧石器時代][縄文時代（前期～後期）][古墳時代][中世][近世],包蔵地,[時代不明]河道 土坑 丸木橋状遺構,石器 縄文土器 石斧 石鏃 石皿 磨石 木製品 漆塗りくし 土師器 板碑 銭貨 陶磁器,"rgb(255,0,0)"
20,,小金井市№20遺跡,小金井市 東町一丁目,[旧石器時代][縄文時代（中期～後期）],包蔵地,,縄文土器,"rgb(255,0,0)"
21,のがわこうえんさくいせき,野川公園柵遺跡,小金井市 東町一丁目,[縄文時代（中期～後期）],集落,[縄文時代]住居,縄文土器,"rgb(255,0,0)"
22,,小金井市№22遺跡,小金井市 本町五丁目,[旧石器時代][縄文時代（早期）],包蔵地,,剥片 縄文土器,"rgb(255,0,0)"
23,,小金井市№23遺跡,小金井市 前原町四丁目,[時代不明],塚,,,"rgb(255,0,0)"
